
#DISTRICT,CITY/TEHSIL,DIVISION,PROVINCE,NA#,PA#
#BALOCHISTAN

HANGU,HANGU,KOHAT,KHYBER PAKHTUNKHWA,NA-37,PK-76
KARAK,KARAK,KOHAT,KHYBER PAKHTUNKHWA,NA-38,PK-77
BANNU,BANNU,BANNU,KHYBER PAKHTUNKHWA,NA-39,PK-78
BANNU,BANNU,BANNU,KHYBER PAKHTUNKHWA,NA-39,PK-79
NORTH WAZIRISTAN,NORTH WAZIRISTAN,BANNU,KHYBER PAKHTUNKHWA,NA-40,PK-80
NORTH WAZIRISTAN,NORTH WAZIRISTAN,BANNU,KHYBER PAKHTUNKHWA,NA-40,PK-81
LAKKI MARWAT,LAKKI MARWAT,BANNU,KHYBER PAKHTUNKHWA,NA-41,PK-86
LAKKI MARWAT,LAKKI MARWAT,BANNU,KHYBER PAKHTUNKHWA,NA-41,PK-87
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,NA-42,PK-88
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,NA-42,PK-89
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,NA-43,PK-90
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,NA-44,PK-91
TANK,TANK,DERA ISMAIL KHAN,KHYBER PAKHTUNKHWA,NA-45,PK-92
UPPER CHITRAL-CUM-LOWER CHITRAL,UPPER CHITRAL-CUM-LOWER CHITRAL,MALAKAND,KHYBER PAKHTUNKHWA,NA-1,PK-93
UPPER CHITRAL-CUM-LOWER CHITRAL,UPPER CHITRAL-CUM-LOWER CHITRAL,MALAKAND,KHYBER PAKHTUNKHWA,NA-1,PK-94
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-2,PK-95
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-2,PK-96
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-3,PK-97
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-3,PK-98
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-4,PK-99
SWAT,SWAT,MALAKAND,KHYBER PAKHTUNKHWA,NA-4,PK-100
UPPER DIR,UPPER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-5,PK-101
UPPER DIR,UPPER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-5,PK-102
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-6,PK-103
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-6,PK-104
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-7,PK-105
LOWER DIR,LOWER DIR,MALAKAND,KHYBER PAKHTUNKHWA,NA-7,PK-106
BAJAUR,BAJAUR,MALAKAND,KHYBER PAKHTUNKHWA,NA-8,PK-107
BAJAUR,BAJAUR,MALAKAND,KHYBER PAKHTUNKHWA,NA-8,PK-108
MALAKAND,MALAKAND,MALAKAND,KHYBER PAKHTUNKHWA,NA-9,PK-109
MALAKAND,MALAKAND,MALAKAND,KHYBER PAKHTUNKHWA,NA-9,PK-110
BUNER,BUNER,MALAKAND,KHYBER PAKHTUNKHWA,NA-10,PK-111
BUNER,BUNER,MALAKAND,KHYBER PAKHTUNKHWA,NA-10,PK-112
SHANGLA,SHANGLA,MALAKAND,KHYBER PAKHTUNKHWA,NA-11,PK-113
SHANGLA,SHANGLA,MALAKAND,KHYBER PAKHTUNKHWA,NA-11,PK-114
KOHISTAN-CUM-LOWER KOHISTAN-CUM-KOLAI PALAS,KOHISTAN-CUM-LOWER KOHISTAN-CUM-KOLAI PALAS,HAZARA,KHYBER PAKHTUNKHWA,NA-12,PK-115
BATTAGRAM,BATTAGRAM,HAZARA,KHYBER PAKHTUNKHWA,NA-13,PK-116
MANSEHRA,MANSEHRA,HAZARA,KHYBER PAKHTUNKHWA,NA-14,PK-117


#ISLAMABAD
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD-I,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL TERRITORY,NA-46,0
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD-II,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL TERRITORY,NA-47,0
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD-III,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL TERRITORY,NA-48,0

#PUNJAB


ATTOCK,ATTOCK-I,RAWALPINDI,PUNJAB,NA-49,PP-1
ATTOCK,ATTOCK-II,RAWALPINDI,PUNJAB,NA-49,PP-2
ATTOCK,PINDI GHEB,RAWALPINDI,PUNJAB,NA-49,PP-3
ATTOCK,FATEHJANG,RAWALPINDI,PUNJAB,NA-50,PP-4
ATTOCK,TALAGANG,RAWALPINDI,PUNJAB,NA-50,PP-5
RAWALPINDI,RAWALPINDI-I,RAWALPINDI,PUNJAB,NA-51,PP-6
RAWALPINDI,RAWALPINDI-II,RAWALPINDI,PUNJAB,NA-51,PP-7
RAWALPINDI,RAWALPINDI-III,RAWALPINDI,PUNJAB,NA-52,PP-8
RAWALPINDI,RAWALPINDI-IV,RAWALPINDI,PUNJAB,NA-52,PP-9
RAWALPINDI,RAWALPINDI-V,RAWALPINDI,PUNJAB,NA-53,PP-10
RAWALPINDI,RAWALPINDI-VI,RAWALPINDI,PUNJAB,NA-53,PP-11
CHAKWAL,CHAKWAL-I,RAWALPINDI,PUNJAB,NA-60,PP-20
CHAKWAL,CHAKWAL-II,RAWALPINDI,PUNJAB,NA-60,PP-21
CHAKWAL,TALAGANG,RAWALPINDI,PUNJAB,NA-61,PP-22
JEHLUM,JEHLUM-I,RAWALPINDI,PUNJAB,NA-62,PP-23
JEHLUM,JEHLUM-II,RAWALPINDI,PUNJAB,NA-62,PP-24
JEHLUM,PINDA DADAN KHAN,RAWALPINDI,PUNJAB,NA-63,PP-25
GUJRAT,GUJRAT-I,GUJRANWALA,PUNJAB,NA-64,PP-26
GUJRAT,GUJRAT-II,GUJRANWALA,PUNJAB,NA-64,PP-27
GUJRAT,GUJRAT-III,GUJRANWALA,PUNJAB,NA-65,PP-28
GUJRAT,GUJRAT-IV,GUJRANWALA,PUNJAB,NA-65,PP-29
GUJRAT,GUJRAT-V,GUJRANWALA,PUNJAB,NA-66,PP-30
GUJRAT,GUJRAT-VI,GUJRANWALA,PUNJAB,NA-66,PP-31
SIALKOT,SIALKOT-I,GUJRANWALA,PUNJAB,NA-72,PP-32
SIALKOT,SIALKOT-II,GUJRANWALA,PUNJAB,NA-72,PP-33
SIALKOT,SIALKOT-III,GUJRANWALA,PUNJAB,NA-73,PP-34
SIALKOT,SIALKOT-IV,GUJRANWALA,PUNJAB,NA-73,PP-35
SIALKOT,SIALKOT-V,GUJRANWALA,PUNJAB,NA-74,PP-36
SIALKOT,SIALKOT-VI,GUJRANWALA,PUNJAB,NA-74,PP-37
SIALKOT,SIALKOT-VII,GUJRANWALA,PUNJAB,NA-71,PP-38
SIALKOT,SIALKOT-VIII,GUJRANWALA,PUNJAB,NA-71,PP-39
SIALKOT,SIALKOT-IX,GUJRANWALA,PUNJAB,NA-75,PP-40
SIALKOT,SIALKOT-X,GUJRANWALA,PUNJAB,NA-75,PP-41
SIALKOT,SIALKOT-XI,GUJRANWALA,PUNJAB,NA-76,PP-42
SIALKOT,SIALKOT-XII,GUJRANWALA,PUNJAB,NA-76,PP-43
SIALKOT,SIALKOT-XIII,GUJRANWALA,PUNJAB,NA-77,PP-44
NAROWAL,NAROWAL-I,GUJRANWALA,PUNJAB,NA-78,PP-45
NAROWAL,NAROWAL-II,GUJRANWALA,PUNJAB,NA-78,PP-46
NAROWAL,NAROWAL-III,GUJRANWALA,PUNJAB,NA-79,PP-47
NAROWAL,NAROWAL-IV,GUJRANWALA,PUNJAB,NA-79,PP-48
WAZIRABAD,WAZIRABAD,GUJRANWALA,PUNJAB,NA-80,PP-49
GUJRANWALA,GUJRANWALA-I,GUJRANWALA,PUNJAB,NA-81,PP-50
GUJRANWALA,GUJRANWALA-II,GUJRANWALA,PUNJAB,NA-67,PP-51
GUJRANWALA,GUJRANWALA-III,GUJRANWALA,PUNJAB,NA-67,PP-52
GUJRANWALA,GUJRANWALA-IV,GUJRANWALA,PUNJAB,NA-68,PP-53
GUJRANWALA,GUJRANWALA-V,GUJRANWALA,PUNJAB,NA-68,PP-54
GUJRANWALA,GUJRANWALA-VI,GUJRANWALA,PUNJAB,NA-69,PP-55
GUJRANWALA,GUJRANWALA-VII,GUJRANWALA,PUNJAB,NA-69,PP-56
GUJRANWALA,GUJRANWALA-VIII,GUJRANWALA,PUNJAB,NA-70,PP-57
GUJRANWALA,GUJRANWALA-IX,GUJRANWALA,PUNJAB,NA-70,PP-58
MANDI BAHAUDDIN,Mandi_Bahauddin-VI,GUJRANWALA,PUNJAB,NA-84,PP-59
SIALKOT,SIALKOT-XIV,GUJRANWALA,PUNJAB,NA-77,PP-60
GUJRANWALA,GUJRANWALA-XI,GUJRANWALA,PUNJAB,NA-82,PP-61
GUJRANWALA,GUJRANWALA-XII,GUJRANWALA,PUNJAB,NA-83,PP-62
MANDI BAHAUDDIN,Mandi_Bahauddin-I,GUJRANWALA,PUNJAB,NA-85,PP-61
GUJRANWALA,GUJRANWALA-XIII,GUJRANWALA,PUNJAB,NA-83,PP-63
MANDI BAHAUDDIN,Mandi_Bahauddin-III,GUJRANWALA,PUNJAB,NA-86,PP-63
GUJRANWALA,GUJRANWALA-XIV,GUJRANWALA,PUNJAB,NA-85,PP-64
HAFIZABAD,HAFIZABAD-I,GUJRANWALA,PUNJAB,NA-87,PP-65
HAFIZABAD,HAFIZABAD-II,GUJRANWALA,PUNJAB,NA-87,PP-66
HAFIZABAD,HAFIZABAD-III,GUJRANWALA,PUNJAB,NA-88,PP-67
HAFIZABAD,HAFIZABAD-IV,GUJRANWALA,PUNJAB,NA-88,PP-68
SARGODHA,SARGODHA-I,SARGODHA,PUNJAB,NA-90,PP-72
SARGODHA,SARGODHA-II,SARGODHA,PUNJAB,NA-90,PP-73
SARGODHA,SARGODHA-III,SARGODHA,PUNJAB,NA-91,PP-74
SARGODHA,SARGODHA-IV,SARGODHA,PUNJAB,NA-91,PP-75
SARGODHA,SARGODHA-V,SARGODHA,PUNJAB,NA-92,PP-76
SARGODHA,SARGODHA-VI,SARGODHA,PUNJAB,NA-92,PP-77
SARGODHA,SARGODHA-VII,SARGODHA,PUNJAB,NA-93,PP-78
SARGODHA,SARGODHA-VIII,SARGODHA,PUNJAB,NA-93,PP-79
KHUSHAB,KHUSHAB-I,SARGODHA,PUNJAB,NA-94,PP-80
KHUSHAB,KHUSHAB-II,SARGODHA,PUNJAB,NA-94,PP-81
KHUSHAB,KHUSHAB-III,SARGODHA,PUNJAB,NA-95,PP-82
KHUSHAB,KHUSHAB-IV,SARGODHA,PUNJAB,NA-95,PP-83
BHAKKAR,BHAKKAR-I,SARGODHA,PUNJAB,NA-96,PP-88
BHAKKAR,BHAKKAR-II,SARGODHA,PUNJAB,NA-96,PP-89
BHAKKAR,BHAKKAR-III,SARGODHA,PUNJAB,NA-97,PP-90
BHAKKAR,BHAKKAR-IV,SARGODHA,PUNJAB,NA-97,PP-91
FAISALABAD,FAISALABAD-I,FAISALABAD,PUNJAB,NA-97,PP-97
FAISALABAD,FAISALABAD-II,FAISALABAD,PUNJAB,NA-97,PP-98
FAISALABAD,FAISALABAD-III,FAISALABAD,PUNJAB,NA-98,PP-99
FAISALABAD,FAISALABAD-IV,FAISALABAD,PUNJAB,NA-98,PP-100
FAISALABAD,FAISALABAD-V,FAISALABAD,PUNJAB,NA-99,PP-101
FAISALABAD,FAISALABAD-VI,FAISALABAD,PUNJAB,NA-99,PP-102
FAISALABAD,FAISALABAD-VII,FAISALABAD,PUNJAB,NA-100,PP-103
FAISALABAD,FAISALABAD-VIII,FAISALABAD,PUNJAB,NA-100,PP-104
TOBA TEK SINGH,TOBA_TEK_SINGH-I,FAISALABAD,PUNJAB,NA-101,PP-118
TOBA TEK SINGH,TOBA_TEK_SINGH-II,FAISALABAD,PUNJAB,NA-101,PP-119
TOBA TEK SINGH,TOBA_TEK_SINGH-III,FAISALABAD,PUNJAB,NA-102,PP-120
TOBA TEK SINGH,TOBA_TEK_SINGH-IV,FAISALABAD,PUNJAB,NA-102,PP-121
JHANG,JHANG-I,FAISALABAD,PUNJAB,NA-114,PP-125
JHANG,JHANG-II,FAISALABAD,PUNJAB,NA-114,PP-126
JHANG,JHANG-III,FAISALABAD,PUNJAB,NA-115,PP-127
JHANG,JHANG-IV,FAISALABAD,PUNJAB,NA-115,PP-128
JHANG,JHANG-V,FAISALABAD,PUNJAB,NA-116,PP-129
JHANG,JHANG-VI,FAISALABAD,PUNJAB,NA-116,PP-130
LAHORE,LAHORE-I,LAHORE,PUNJAB,NA-117,PP-146
LAHORE,LAHORE-II,LAHORE,PUNJAB,NA-117,PP-147
LAHORE,LAHORE-III,LAHORE,PUNJAB,NA-118,PP-148
LAHORE,LAHORE-IV,LAHORE,PUNJAB,NA-118,PP-149
LAHORE,LAHORE-V,LAHORE,PUNJAB,NA-119,PP-150
LAHORE,LAHORE-VI,LAHORE,PUNJAB,NA-119,PP-151
LAHORE,LAHORE-VII,LAHORE,PUNJAB,NA-120,PP-152
LAHORE,LAHORE-VIII,LAHORE,PUNJAB,NA-120,PP-153
LAHORE,LAHORE-IX,LAHORE,PUNJAB,NA-121,PP-154
LAHORE,LAHORE-X,LAHORE,PUNJAB,NA-121,PP-155
LAHORE,LAHORE-XI,LAHORE,PUNJAB,NA-122,PP-156
LAHORE,LAHORE-XII,LAHORE,PUNJAB,NA-122,PP-157
LAHORE,LAHORE-XIII,LAHORE,PUNJAB,NA-123,PP-158
LAHORE,LAHORE-XIV,LAHORE,PUNJAB,NA-123,PP-159
LAHORE,LAHORE-XV,LAHORE,PUNJAB,NA-124,PP-160
LAHORE,LAHORE-XVI,LAHORE,PUNJAB,NA-124,PP-161
LAHORE,LAHORE-XVII,LAHORE,PUNJAB,NA-125,PP-162
LAHORE,LAHORE-XVIII,LAHORE,PUNJAB,NA-125,PP-163
LAHORE,LAHORE-XIX,LAHORE,PUNJAB,NA-126,PP-164
LAHORE,LAHORE-XX,LAHORE,PUNJAB,NA-126,PP-165
LAHORE,LAHORE-XXI,LAHORE,PUNJAB,NA-127,PP-166
LAHORE,LAHORE-XXII,LAHORE,PUNJAB,NA-127,PP-167
LAHORE,LAHORE-XXIII,LAHORE,PUNJAB,NA-128,PP-168
LAHORE,LAHORE-XXIV,LAHORE,PUNJAB,NA-128,PP-169
SHEIKHUPURA,SHEIKHUPURA-I,LAHORE,PUNJAB,NA-129,PP-170
SHEIKHUPURA,SHEIKHUPURA-II,LAHORE,PUNJAB,NA-129,PP-171
SHEIKHUPURA,SHEIKHUPURA-III,LAHORE,PUNJAB,NA-130,PP-172
SHEIKHUPURA,SHEIKHUPURA-IV,LAHORE,PUNJAB,NA-130,PP-173
SHEIKHUPURA,SHEIKHUPURA-V,LAHORE,PUNJAB,NA-131,PP-174
KASUR,KASUR-I,LAHORE,PUNJAB,NA-137,PP-175
KASUR,KASUR-II,LAHORE,PUNJAB,NA-137,PP-176
KASUR,KASUR-III,LAHORE,PUNJAB,NA-138,PP-177
KASUR,KASUR-IV,LAHORE,PUNJAB,NA-138,PP-178
KASUR,KASUR-V,LAHORE,PUNJAB,NA-139,PP-179
KASUR,KASUR-VI,LAHORE,PUNJAB,NA-139,PP-180
OKARA,OKARA-I,SAHIWAL,PUNJAB,NA-140,PP-181
OKARA,OKARA-II,SAHIWAL,PUNJAB,NA-140,PP-182
OKARA,OKARA-III,SAHIWAL,PUNJAB,NA-141,PP-183
OKARA,OKARA-IV,SAHIWAL,PUNJAB,NA-141,PP-184
OKARA,OKARA-V,SAHIWAL,PUNJAB,NA-142,PP-185
OKARA,OKARA-VI,SAHIWAL,PUNJAB,NA-142,PP-186
